,Unnamed: 0,optionid,securityid,strike,expiration,callput,contractsize,date_traded,contract_price,asset_price,contract_volume,days_to_maturity,rate,volatility,moneyness,mean_volatility,reversion,var_of_vol,rho
0,0,164100236.0,701057.0,11.25,2020-03-20,C,2.0,2020-03-13,3.5,7.969,152.0,7.0,0.858947,0.7888704108,1.4117204166143806,0.04498970073819035,2.1153192922298842,0.6460283913683964,-0.3499373978293944
1,1,164100240.0,701057.0,12.25,2020-03-20,C,2.0,2020-03-13,11.0,7.969,31.0,7.0,0.858947,0.7888704108,1.5372066758689922,0.023297406895570128,0.7591827844798055,0.08593413717859087,-0.7451960438420149
2,2,165303462.0,701057.0,11.375,2020-03-20,C,2.0,2020-03-13,5.0,7.969,7.0,7.0,0.858947,0.7888704108,1.427406199021207,0.023546661245544245,0.4085716765379088,0.38623883576319595,-0.6941473147293746
3,3,165303464.0,701057.0,11.875,2020-03-20,C,2.0,2020-03-13,3.0,7.969,14.0,7.0,0.858947,0.7888704108,1.490149328648513,0.03304026148591719,3.092034072834953,0.4012154357217809,-0.2551112840466947
4,4,165303465.0,701057.0,12.125,2020-03-20,C,2.0,2020-03-13,3.5,7.969,3.0,7.0,0.858947,0.7888704108,1.5215208934621658,0.04989883014660143,4.6352937424992255,0.04748381832894399,-0.3962687092021626
5,5,165323056.0,701057.0,10.125,2020-03-20,C,2.0,2020-03-13,5.5,7.969,23.0,7.0,0.858947,0.7888704108,1.2705483749529427,0.019984949389465913,0.8257760973222444,0.6774045660439212,-0.5112807316189034
6,6,165333378.0,701057.0,9.625,2020-03-20,C,2.0,2020-03-13,18.5,7.969,3.0,7.0,0.858947,0.7888704108,1.2078052453256367,0.04609436668827487,2.702648681569531,0.7025898980216453,-0.3670346541497136
7,7,165395577.0,701057.0,10.05,2020-03-20,C,2.0,2020-03-13,6.5,7.969,37.0,7.0,0.858947,0.7888704108,1.2611369055088468,0.030760516327752813,2.02425238428441,0.06286529036599324,-0.35706379017609935
8,8,165395578.0,701057.0,10.1,2020-03-20,C,2.0,2020-03-13,6.0,7.969,10.0,7.0,0.858947,0.7888704108,1.2674112184715773,0.04797539093368258,4.945098990288282,0.33184805973565185,-0.12307368584439222
9,9,165413396.0,701057.0,9.65,2020-03-20,C,2.0,2020-03-13,17.0,7.969,271.0,7.0,0.858947,0.7888704108,1.210942401807002,0.01556935589012166,2.522307319343776,0.496957387052088,-0.31921423676431915
10,10,165413400.0,701057.0,9.9,2020-03-20,C,2.0,2020-03-13,9.5,7.969,7.0,7.0,0.858947,0.7888704108,1.242313966620655,0.02657004273493261,4.23780083330877,0.6723760376929776,-0.45749316489780606
11,11,165349361.0,506528.0,0.635,2020-03-20,C,10.0,2020-03-13,0.7,0.536610986328125,3.0,7.0,0.858947,0.51707426,1.1833525890797034,0.033235008401393956,4.44771038023003,0.4894725643142217,-0.4305133981865778
12,12,165366724.0,506528.0,0.605,2020-03-20,C,10.0,2020-03-13,2.25,0.536610986328125,3.0,7.0,0.858947,0.51707426,1.1274461675483787,0.02409908381718245,2.757445914821263,0.42954693526555054,-0.35244637069336243
13,13,165366725.0,506528.0,0.625,2020-03-20,C,10.0,2020-03-13,1.0,0.536610986328125,98.0,7.0,0.858947,0.51707426,1.1647171152359286,0.041608535079993805,4.5180754661424105,0.11502132780049971,-0.13024798942825871
14,14,165407725.0,506528.0,0.595,2020-03-20,C,10.0,2020-03-13,3.45,0.536610986328125,379.0,7.0,0.858947,0.51707426,1.1088106937046038,0.02565673535825848,3.9265080007860114,0.1927393494045417,-0.29210969845974194
15,15,165437758.0,506528.0,0.5975,2020-03-20,C,10.0,2020-03-13,3.1,0.536610986328125,50.0,7.0,0.858947,0.51707426,1.1134695621655477,0.025613898123800022,2.667777770082568,0.5912579518414365,-0.11251222954538678
