,optionid,securityid,strike,expiration,callput,contractsize,date_traded,contract_price,asset_price,contract_volume,days_to_maturity,rate,volatility
0,164100236.0,701057.0,22500.0,2020-03-20,C,2.0,2020-03-13,7.0,15938.0,152.0,7.0,0.858947,0.7888704108
1,164100240.0,701057.0,24500.0,2020-03-20,C,2.0,2020-03-13,22.0,15938.0,31.0,7.0,0.858947,0.7888704108
2,165303462.0,701057.0,22750.0,2020-03-20,C,2.0,2020-03-13,10.0,15938.0,7.0,7.0,0.858947,0.7888704108
3,165303464.0,701057.0,23750.0,2020-03-20,C,2.0,2020-03-13,6.0,15938.0,14.0,7.0,0.858947,0.7888704108
4,165303465.0,701057.0,24250.0,2020-03-20,C,2.0,2020-03-13,7.0,15938.0,3.0,7.0,0.858947,0.7888704108
5,165323056.0,701057.0,20250.0,2020-03-20,C,2.0,2020-03-13,11.0,15938.0,23.0,7.0,0.858947,0.7888704108
6,165333378.0,701057.0,19250.0,2020-03-20,C,2.0,2020-03-13,37.0,15938.0,3.0,7.0,0.858947,0.7888704108
7,165395577.0,701057.0,20100.0,2020-03-20,C,2.0,2020-03-13,13.0,15938.0,37.0,7.0,0.858947,0.7888704108
8,165395578.0,701057.0,20200.0,2020-03-20,C,2.0,2020-03-13,12.0,15938.0,10.0,7.0,0.858947,0.7888704108
9,165413396.0,701057.0,19300.0,2020-03-20,C,2.0,2020-03-13,34.0,15938.0,271.0,7.0,0.858947,0.7888704108
10,165413400.0,701057.0,19800.0,2020-03-20,C,2.0,2020-03-13,19.0,15938.0,7.0,7.0,0.858947,0.7888704108
11,165349361.0,506528.0,6350.0,2020-03-20,C,10.0,2020-03-13,7.0,5366.10986328125,3.0,7.0,0.858947,0.51707426
12,165366724.0,506528.0,6050.0,2020-03-20,C,10.0,2020-03-13,22.5,5366.10986328125,3.0,7.0,0.858947,0.51707426
13,165366725.0,506528.0,6250.0,2020-03-20,C,10.0,2020-03-13,10.0,5366.10986328125,98.0,7.0,0.858947,0.51707426
14,165407725.0,506528.0,5950.0,2020-03-20,C,10.0,2020-03-13,34.5,5366.10986328125,379.0,7.0,0.858947,0.51707426
15,165437758.0,506528.0,5975.0,2020-03-20,C,10.0,2020-03-13,31.0,5366.10986328125,50.0,7.0,0.858947,0.51707426
16,165437760.0,506528.0,6075.0,2020-03-20,C,10.0,2020-03-13,20.5,5366.10986328125,22.0,7.0,0.858947,0.51707426
17,165437761.0,506528.0,6125.0,2020-03-20,C,10.0,2020-03-13,16.5,5366.10986328125,37.0,7.0,0.858947,0.51707426
18,165355155.0,702263.0,1575.0,2020-03-20,C,100.0,2020-03-13,12.0,1372.125,4.0,7.0,0.858947,0.4813179234
19,165355159.0,702263.0,1615.0,2020-03-20,C,100.0,2020-03-13,6.0,1372.125,5.0,7.0,0.858947,0.4813179234
20,165372106.0,702263.0,1525.0,2020-03-20,C,100.0,2020-03-13,11.25,1372.125,16.0,7.0,0.858947,0.4813179234
21,165372107.0,702263.0,1530.0,2020-03-20,C,100.0,2020-03-13,14.25,1372.125,65.0,7.0,0.858947,0.4813179234
22,165372109.0,702263.0,1545.0,2020-03-20,C,100.0,2020-03-13,18.0,1372.125,21.0,7.0,0.858947,0.4813179234
23,165372110.0,702263.0,1550.0,2020-03-20,C,100.0,2020-03-13,10.0,1372.125,330.0,7.0,0.858947,0.4813179234
24,165413619.0,702263.0,1490.0,2020-03-20,C,100.0,2020-03-13,22.0,1372.125,21.0,7.0,0.858947,0.4813179234
25,165413621.0,702263.0,1505.0,2020-03-20,C,100.0,2020-03-13,15.5,1372.125,4.0,7.0,0.858947,0.4813179234
26,165413622.0,702263.0,1510.0,2020-03-20,C,100.0,2020-03-13,15.5,1372.125,210.0,7.0,0.858947,0.4813179234
27,165413623.0,702263.0,1515.0,2020-03-20,C,100.0,2020-03-13,12.5,1372.125,10.0,7.0,0.858947,0.4813179234
28,165450937.0,702263.0,1450.0,2020-03-20,C,100.0,2020-03-13,30.0,1372.125,779.0,7.0,0.858947,0.4813179234
29,165450939.0,702263.0,1465.0,2020-03-20,C,100.0,2020-03-13,27.0,1372.125,13.0,7.0,0.858947,0.4813179234
30,165450941.0,702263.0,1475.0,2020-03-20,C,100.0,2020-03-13,16.0,1372.125,7.0,7.0,0.858947,0.4813179234
31,165366298.0,506496.0,10650.0,2020-03-20,C,5.0,2020-03-13,31.899999618530273,9232.080078125,67.0,7.0,0.858947,0.5719487138
32,165366299.0,506496.0,10750.0,2020-03-20,C,5.0,2020-03-13,25.899999618530273,9232.080078125,133.0,7.0,0.858947,0.5719487138
33,165366300.0,506496.0,10850.0,2020-03-20,C,5.0,2020-03-13,21.299999237060547,9232.080078125,17.0,7.0,0.858947,0.5719487138
34,165407089.0,506496.0,10550.0,2020-03-20,C,5.0,2020-03-13,39.70000076293945,9232.080078125,262.0,7.0,0.858947,0.5719487138
35,165366909.0,506534.0,470.0,2020-03-20,C,100.0,2020-03-13,7.070000171661377,432.8500061035156,756.0,7.0,0.858947,0.5184653106
36,165407965.0,506534.0,420.0,2020-03-20,C,100.0,2020-03-13,28.860000610351562,432.8500061035156,52.0,7.0,0.858947,0.5184653106
37,165407967.0,506534.0,475.0,2020-03-20,C,100.0,2020-03-13,5.880000114440918,432.8500061035156,182.0,7.0,0.858947,0.5184653106
38,165438022.0,506534.0,405.0,2020-03-20,C,100.0,2020-03-13,38.869998931884766,432.8500061035156,36.0,7.0,0.858947,0.5184653106
39,165438024.0,506534.0,410.0,2020-03-20,C,100.0,2020-03-13,35.38999938964844,432.8500061035156,66.0,7.0,0.858947,0.5184653106
40,165438026.0,506534.0,425.0,2020-03-20,C,100.0,2020-03-13,25.84000015258789,432.8500061035156,87.0,7.0,0.858947,0.5184653106
41,165438028.0,506534.0,430.0,2020-03-20,C,100.0,2020-03-13,23.020000457763672,432.8500061035156,281.0,7.0,0.858947,0.5184653106
42,165438030.0,506534.0,435.0,2020-03-20,C,100.0,2020-03-13,20.350000381469727,432.8500061035156,48.0,7.0,0.858947,0.5184653106
43,165438032.0,506534.0,445.0,2020-03-20,C,100.0,2020-03-13,15.630000114440918,432.8500061035156,63.0,7.0,0.858947,0.5184653106
44,165438034.0,506534.0,450.0,2020-03-20,C,100.0,2020-03-13,13.479999542236328,432.8500061035156,841.0,7.0,0.858947,0.5184653106
45,165438036.0,506534.0,455.0,2020-03-20,C,100.0,2020-03-13,11.5600004196167,432.8500061035156,89.0,7.0,0.858947,0.5184653106
46,165438038.0,506534.0,462.0,2020-03-20,C,100.0,2020-03-13,9.239999771118164,432.8500061035156,59.0,7.0,0.858947,0.5184653106
47,165438040.0,506534.0,464.0,2020-03-20,C,100.0,2020-03-13,8.539999961853027,432.8500061035156,63.0,7.0,0.858947,0.5184653106
48,165438042.0,506534.0,465.0,2020-03-20,C,100.0,2020-03-13,8.199999809265137,432.8500061035156,183.0,7.0,0.858947,0.5184653106
49,165438044.0,506534.0,466.0,2020-03-20,C,100.0,2020-03-13,7.960000038146973,432.8500061035156,16.0,7.0,0.858947,0.5184653106
50,165438046.0,506534.0,468.0,2020-03-20,C,100.0,2020-03-13,7.539999961853027,432.8500061035156,126.0,7.0,0.858947,0.5184653106
51,165438048.0,506534.0,472.0,2020-03-20,C,100.0,2020-03-13,6.539999961853027,432.8500061035156,127.0,7.0,0.858947,0.5184653106
52,165438050.0,506534.0,474.0,2020-03-20,C,100.0,2020-03-13,6.090000152587891,432.8500061035156,304.0,7.0,0.858947,0.5184653106
53,165438052.0,506534.0,476.0,2020-03-20,C,100.0,2020-03-13,5.639999866485596,432.8500061035156,45.0,7.0,0.858947,0.5184653106
54,165438054.0,506534.0,478.0,2020-03-20,C,100.0,2020-03-13,5.21999979019165,432.8500061035156,33.0,7.0,0.858947,0.5184653106
55,165437305.0,506497.0,4675.0,2020-03-20,C,10.0,2020-03-13,27.3799991607666,4118.35986328125,21.0,7.0,0.858947,0.5696349679
56,165437309.0,506497.0,4750.0,2020-03-20,C,10.0,2020-03-13,19.239999771118164,4118.35986328125,20.0,7.0,0.858947,0.5696349679
57,165437315.0,506497.0,4850.0,2020-03-20,C,10.0,2020-03-13,12.319999694824219,4118.35986328125,6.0,7.0,0.858947,0.5696349679
58,164916375.0,504880.0,3750.0,2020-01-31,C,10.0,2020-01-24,38.599998474121094,3779.159912109375,38.0,7.0,1.583201,0.0971612447
59,164916376.0,504880.0,3775.0,2020-01-31,C,10.0,2020-01-24,22.200000762939453,3779.159912109375,468.0,7.0,1.583201,0.0971612447
60,164916377.0,504880.0,3800.0,2020-01-31,C,10.0,2020-01-24,10.199999809265137,3779.159912109375,3152.0,7.0,1.583201,0.0971612447
61,165121612.0,702263.0,1810.0,2020-01-31,C,100.0,2020-01-24,16.5,1812.5250244140625,23.0,7.0,1.583201,0.1466051683
62,165121613.0,702263.0,1815.0,2020-01-31,C,100.0,2020-01-24,13.0,1812.5250244140625,34.0,7.0,1.583201,0.1466051683
63,165121614.0,702263.0,1820.0,2020-01-31,C,100.0,2020-01-24,9.0,1812.5250244140625,3.0,7.0,1.583201,0.1466051683
64,165121615.0,702263.0,1825.0,2020-01-31,C,100.0,2020-01-24,8.300000190734863,1812.5250244140625,16.0,7.0,1.583201,0.1466051683
65,165121616.0,702263.0,1830.0,2020-01-31,C,100.0,2020-01-24,5.900000095367432,1812.5250244140625,18.0,7.0,1.583201,0.1466051683
